,UsernamePost,DatePosting,Posting,Saham
300,otoxilinder,"12 May 21, 18:00","@risky666 bruakaka, kan sudah ane kasih tau ente. Saham tidak liquid seperti $PALM resiko sangat tinggi, jangan ente samakan dengan $HMSP $UNVR $ICBP $ASII, apalagi PALM ada kasus hukum, tiba2 ada kejadian BURUK, bisa berabe ente ga bisa kabur kalau PUNYA BANYAK barang, ente aja belum ngerasain, ane udah pernah kena kejadian saham GA LIQUID dengan KASUS HUKUM, hati2 aje.

Terserah ente mau ikutin apa kaga, itu duit2 ente bukan urusan ane. wuakakaka","ASII,HMSP,ICBP,PALM,UNVR"
301,olimpia,"12 May 21, 17:59","ada juga yg rule of thumb pbv dianggap wajar dihitung dari ROE X 10 (pernah baca dibuku kalo ga salah). Jadi jika ROE 20%, maka pbv 2 dianggap wajar.

kalau diimplementasikan ke UNVR, ROE 104%, maka pbv nya di 10,4.. pbv saat ini 32,7.

sebagai referensi saja, ga harus ditelan mentah2.
DYOR.","BACA,UNVR"
302,Laresae,"12 May 21, 17:57","@PejuangInvestasi siap gan,trimakasih atas infonya, sekalian tanya,krn kebetulan saya juga pegang saham ini,posisi profit,mau nambah lot cmn sedikit ragu krn komposisi DER sekitar 156  ,saya cek ada hutang bank 1.002.249 walaupun lebih rendah dr quartal sebelumnya yaitu 1.103.120, menurut anda apakah hal ini membahayakan perusahaan?",BANK
303,febrindas,"12 May 21, 17:57 · Edited on 12 May 21, 17:57","@NhaLo nice share, high pbv karena memang high roe, untuk case unvr memang mature, and sulit growth, namun ada satu keunggulan unvr buat saya di banding deposito, yakni pricing power, saat income naik, mereka bisa menailkan price tanpa di pertanyakan kenapa, hal ini mirip dengan indomie dst. cmiiw ya bro hehe


edit : hakiii unvrrrrrr .....","SATU,UNVR"
304,febrindas,"12 May 21, 17:57 · Edited on 12 May 21, 17:57","@NhaLo nice share, high pbv karena memang high roe, untuk case unvr memang mature, and sulit growth, namun ada satu keunggulan unvr buat saya di banding deposito, yakni pricing power, saat income naik, mereka bisa menailkan price tanpa di pertanyakan kenapa, hal ini mirip dengan indomie dst. cmiiw ya bro hehe


edit : hakiii unvrrrrrr .....","SATU,UNVR"
305,tatank,"12 May 21, 17:49","nggak ada jenis wardiah om di transaksi syariah, adanya wardani kalo cowok, kalau cewek wardah, hehehehe",[]
306,NhaLo,"12 May 21, 17:45","$IHSG seberapa pantas suatu emiten dihargai dari perspektif PBV?

Kalau dilihat banyak emiten yang PBV nya tinggi bahkan diatas 30x mungkin juga ada yang diatas 50x dan sebaliknya sebagian lagi PBVnya rendah dibawah 1 bahkan mendekati 0 (nol) untuk yang equity positif.

Jika boleh menentukan sendiri tentulah agar nilai pantas suatu perusahaan sesuai dengan BVPS atau sama dengan PBV 1x.

Trus wajarkah PBV 5x 10x 30x dan seterusnya. Jawabnya adalah tergantung growth. Sebuah emiten yang growthnya tinggi, dan ruang untuk tumbuh masih banyak maka adalah sangat layak untuk di hargai dengan PBV tinggi, Growth yg utama diperhatikan adalah sales growth. Misalnya perusahaan yang 2 tahun lalu penjualannya 100 M tahun kemaren penjualan 200 M dan tahun ini penjualan meningkat menjadi 300 M, Maka perusahaan ini layak untuk memperoleh PBV tinggi. Namun harus diperhatikan juga growth dari laba.

PBV yangtinggi saat ini, asumsinya akan dijemput suatu saat seiring pertumbuhan usaha. Dimana harga saat ini akan sebanding dengan BVPS dalam beberapa tahun mendang mengikuti pertumbuhan usaha. sehingga harga sekarang akan setara dengan pbv 1 pada beberapa tahun mendatang. Itulah sebabnya saham saham teknologi atau IT yang terus berkembang PBV nya sangat tinggi, seperti Google Microsoft dll. Kalau dalam negeri sepetiinya sulit nyari contoh.

Untuk perusahaan yang udah stuck, mature seperti dan beberapa lainya apakah layak dihargai di PBV tinggi?. Jawabnya adalah ""Tidak"". Kenapa tidak? karena nilai harga yg anda keluarkan saat ini tidak akan pernah kejemput. Perusahaan hanya memiliki sedikit bahkan tidak memiliki ruang untuk tumbuh. Trus apa indikator yang layak untuk masuk pada perusahaan seperti ini? Satu satunya indikator yg layak digunakan adalah Deviden Yield (DY) DY ini adalah return yang anda peroleh seperti bunga pada tabungan atau Deposito, Saat ini DY UNVR adalah 3.5% itu artinya jika anda Investasi 1jt maka dalam setahun anda akan dapat Deviden sebesar 35 rb rupiah. Jika DY sebesar tersebut sudah memenuhi expektasi anda maka silahkan Haka. Tapi kalau saya sendiri untuk perusahaan yang sudah mature minimal harus DY 5%, itu artinya saya ngak akan masuk sebelum harga UNVR 3880 atau lebih rendah.

Untuk perusahaan yang PBVnya rendah atau <= 1 apakah bagus. ini juga tergantung. Perusahaan yg growthnya tidak negatif ya bagus, tapi kalau misalnya sales 2 tahun lalu 100 m tahun kemaren 80 m dan tahun sekarang 50 m mending segera cabut sebelum bangkrut Walaupun terkadang net profit masih positif, dalam hal ini ada indikasi Financial Engginering di LK jika penjualan terus terusan turun tajam.

Namun untuk pemilihan PBV yang sedikit moderat barang kali yang cocok adalah BVPS + EPS misalkan BVPS 100 dan EPS 20 Maka PBV yang cocok adalah <= 1.2x

Ok sekian saja, karena saya ngak bakat nulis panjang kali lebar. DMAS.

Cemungut Nabung Saham","AGAR,DMAS,SATU,TRUS,UNVR"
307,DailyInspiration,"12 May 21, 17:42 · Edited on 12 May 21, 17:45","@Elite $PALM ini siklikal, saya ga menyarankan beli sekarang karena harga komoditasnya sudah Lumayan tinggi..
lihat LK juga $BEKS itu memang busuk sedari dulu.. jgn mentang mentang SRTG langsung diambil, cek sendiri apalagi kalau SRTG udah lepas kepemilikan, hati hati","BEKS,PALM,SRTG"
308,warbuff,"12 May 21, 17:38","kuncinya free float bapak.. coba dibaca ini posting bapak @Michaelyeoh
https://bit.ly/33zFf5u",[]
309,jameshermanto,"12 May 21, 17:36",@Pandu1486 100 tahun,[]
310,EvanHtb,"12 May 21, 17:36",@oliviasther hahaha iya sy kirain besok liburnya jg,[]
311,NatalieZafirah,"12 May 21, 17:33","Hak Hak Karyawan Kontrak

Maaf ya saya tertarik membahas hal ini

Teman teman pernah membayangkan ga apabila tokoh tokoh Pejuang Indonesia itu tidak peduli dengan rakyatnya? Rata rata dr mereka orang penting, pangeran turunan bangsawan. Kalau mereka tunduk dengan permintaan bangsa2 penjajah pastilah mereka mendapat upeti dan hak2 sebagai sekutu. Asal mau berkerja sama menjajah bangsa sendiri contoh: Pangeran Diponegoro, Pangeran Antasari, Andi Abdullah Bau Massepe, Sultan Hasanuddin, Sultan Iskandar Muda,
Sultan Mahmud Badaruddin II , Malahayati , Andi Mappanyukki, Sultan Nuku Muhamad Amiruddin, Pong Tiku,
Samanhudi.

Sumber



Saya yakin masih banyak lagi yang tidak terdata atau tertulis disejarah. Mereka seorang bangsawan kenapa harus susah susah berjuang. Sekarang apa hubungannya mbak dengan zaman sekarang? Coba fikirkan kalau para pejuang yang dulu2 ga mau berjuang. Hasilnya bagaimana sekarang?

Kalau mereka bisa bicara pasti bilang:
""cicit2ku juga ga terima kasih kehidupannya dimasa depan diperjuangkan. Kirimin doa juga enggak asiknya clubbing"".

Cie kaya mbak rajin doain leluhur dan para Pejuang Indonesia, Jujur saya doain kalau ingetmaaf2 nah kebanyakan ga inget.

Nah sekarang apa hubungannya contoh karyawan kontrak, di peraturan tertulis: Pasal 56 Undang-undang Nomor 13 Tahun 2003 tentang Ketenagakerjaan


Hak-Hak Karyawan Kontrak (PKWT) yang Perlu Diketahui HR

 Rishna Maulina

2 years ago

Secara hukum, karyawan kontrak dapat diartikan sebagai karyawan dengan status bukan karyawan tetap atau karyawan yang bekerja hanya untuk waktu tertentu berdasar kesepakatan antara karyawan dengan perusahaan pemberi kerja. Jenis karyawan ini sering disebut sebagai karyawan PKWT atau Karyawan dengan Perjanjian Kerja Waktu Tertentu. Dasar hukum PKWT salah satunya adalah Pasal 56 Undang-undang Nomor 13 Tahun 2003 tentang Ketenagakerjaan. Dalam Undang-Undang tersebut dijelaskan bahwa perjanjian kerja dibuat untuk waktu tertentu atau untuk waktu tidak tertentu. Perjanjian kerja untuk waktu tertentu yang dimaksud didasarkan atas jangka waktu dan selesainya suatu pekerjaan tertentu. Apa saja hak-hak karyawan kontrak yang tidak diperpanjang oleh perusahaan?

Ketentuan Tentang PKWT

PKWT adalah perjanjian kerja antara karyawan dengan pengusaha untuk mengadakan hubungan kerja dalam waktu tertentu atau untuk pekerjaan tertentu. PKWT hanya dapat dibuat untuk suatu pekerjaan yang menurut jenis dan sifat atau kegiatan pekerjaannya akan selesai dalam waktu tertentu, yaitu:
a. Pekerjaan yang sekali selesai atau yang bersifat sementara.
b. Pekerjaan yang diperkirakan penyelesaiannya dalam waktu yang tidak terlalu lama dan paling lama 3 tahun.
c. Pekerjaan yang bersifat musiman.
d. Pekerjaan yang berhubungan dengan produk baru, kegiatan baru, atau produk tambahan yang masih dalam masa percobaan atau penjajakan.
PKWT pada dasarnya hanya boleh untuk suatu pekerjaan dengan jangka waktu 2 tahun, yang mana hanya boleh diperpanjang sebanyak 1 kali untuk jangka waktu paling lama 1 tahun. Atau hanya dapat diperbaharui sebanyak 1 kali untuk paling lama 2 tahun. Jika perusahaan melanggar ketentuan tersebut, maka PKWT akan berubah menjadi Perjanjian Kerja Waktu Tidak Tertentu (PKWTT). Jika seorang karyawan sebenarnya adalah pekerja dengan PKWTT (karena pengusaha melanggar ketentuan UU Ketenagakerjaan), maka jika terhadap karyawan tersebut dilakukan pemutusan hubungan kerja, dan karyawan tersebut berhak atas uang pesangon. Namun jika PKWT dan kontrak kerja berakhir, tidak ada pesangon untuk karyawan kontrak.

Hak-Hak Karyawan PKWT di Perusahaan

Hak-hak karyawan kontrak yang harus dicermati antara lain soal pemutusan hubungan kerja, tunjangan hari raya (THR), dan cuti. Menurut UU Ketenagakerjaan, pihak yang memutuskan hubungan kerja sebelum masa berlaku perjanjian berakhir memiliki kewajiban memberikan ganti rugi kepada pihak yang dirugikan. Misalnya kontrak masih tersisa selama 2 bulan, lalu di-PHK secara sepihak. Perusahaan wajib memberikan pesangon ke karyawan tersebut. Besarnya pesangon sesuai dengan sisa masa kontrak yang berlaku. Misalnya gaji seorang karyawan adalah sebesar Rp3.000.000 per bulan, berarti perusahaan harus membayar sebesar Rp3.000.000 x 2 bulan = Rp6.000.000.
Pemberian pesangon sebesar Rp6.000.000 tersebut berlaku jika seorang karyawan kontrak di-PHK secara sepihak. Dalam perjanjian kerja dengan perusahaan, biasanya telah diatur tentang pemutusan hubungan kerja, termasuk syarat dan konsekuensinya. Sedangkan soal THR, karyawan kontrak berhak menerimanya sama seperti karyawan tetap. Besarannya adalah senilai dengan gaji pokok dalam satu bulan jika karyawan sudah bekerja selama 12 bulan. Sedangkan bagi karyawan yang masa kerja minimal satu bulan akan mendapatkan THR dengan proporsi yang berbeda. Perhitungannya adalah jumlah masa kerja dibagi 12 bulan, lalu dikalikan dengan upah 1 bulan. Misalnya gaji Rp3.000.000 dengan masa kerja satu bulan. Berarti THR-nya 1 bulan / 12 x Rp3.000.000= Rp250.000.
Untuk ketentuan cuti, karyawan kontrak berhak mendapat cuti sebanyak 12 kali dalam satu tahun. Syaratnya, karyawan tersebut sudah bekerja secara terus-menerus selama 12 bulan sebelumnya. Jadi, sebelum bekerja selama 12 bulan, karyawan tersebut belum bisa mengambil hak cuti.

Karyawan Kontrak yang Mengundurkan Diri

Yang dapat digunakan menjadi acuan jika ada karyawan yang mengundurkan diri sebelum masa kontrak berakhir adalah Pasal 62 Undang-undang Ketenagakerjaan. Jika salah satu pihak mengakhiri hubungan kerja sebelum berakhirnya jangka waktu dalam PKWT, atau berakhirnya hubungan kerja bukan karena ketentuan sebagaimana dalam Pasal 61 ayat (1), maka pihak yang mengakhiri hubungan kerja tersebut wajib membayar ganti rugi. Ganti rugi tersebut harus diberikan kepada pihak lainnya sebesar upah karyawan sampai dengan batas waktu berakhirnya jangka waktu perjanjian kerja. Apabila ganti rugi atau denda kerja ada di dalam kontrak kerja, maka secara hukum karyawan wajib mematuhi isi kontrak tersebut. Termasuk wajib membayar pinalti atau denda kerja, jika memutuskan untuk mengundurkan diri sebelum masa kontrak berakhir.

Pada umumnya, status kontrak kerja maksimal selama 5 tahun saja. Namun jika kinerja karyawan kontrak bagus, maka bukan tidak mungkin jika baru setahun karyawan tersebut langsung diangkat sebagai pegawai tetap. Meski begitu, tidak menutup kemungkinan status karyawan kontrak tetap melekat tidak peduli seberapa bagus hasil kerja karyawan. Karena pada kenyataannya memang tidak semua perusahaan mematuhi aturan dari pemerintah. Segala hal yang berhubungan dengan karyawan memang cukup banyak dan rumit. Itulah mengapa setiap perusahaan baik yang berskala kecil, menengah, dan besar.

Categories: Human Resources (HR), Sumber Daya Manusia

sumber


Mengatakan max 5 tahun pada faktanya kontrak diperpanjang setiap 1 tahun dan faktanya ada yang diperpanjang selama 15 tahun sampai ada yang 30 tahun. Mereka pekerja? atau pembantu yang kerja sama majikan tapi uang perusahaan atau uang negara hasil pajak dan mengelola kekayaan negara serta hasil jualan mata uang rupiah ???

Pada faktanya Kemerdekaan itu hanya untuk sebagian masyarakat saja bukan seluruh rakyat indonesia. Saya sering bertanya pada dosen dan menjelaskan fakta2 dilapangan. Yang didengar jangan hanya keluhan yang menyangkut hak2 perusahaan tajir yang diambil perusahaan2 lain. Tapi dengarkan juga keluhan rakyatnya.

Contoh ya ibarat istri siri ga naik tingkat kecuali istri tua di cerai atau dengan ijin istri tua menikah lagi. Baru anak2 istri siri memperoleh bagian harga warisan.

sumber
Hak2 istri wow bill gates transfer saham 26 triliun ke mantan istri.

Jadi kalau ibu2 menemani suami dr 0 sampai sukses, ada hak ibu separo nilai sahamnya ea ( kl ada yang block saya nih byk bapak2 deh) Tagih bu, kl ga dapat didunia tagih diakherat. Jadi istri itu berat kl ga taat dengan suami hadiahnya neraka. Belum tentu juga para suami itu nasibnya seperti Bill gates atau orang2 terkaya didunia.

Balik nih

Contoh lagi karyawan kontrak hanya di ambil umur usia manfaat. Seperti mobil diatas 5 tahun banyak keluhan dan biaya perawatan makin besar. Orang akan ganti mobil setelah 5 tahun agar tidak banyak keluhan dan mesin masih baru. Istri?? masa istri disamain sama mobilmaaf2.

Intinya jangan mau digaji rendah + jadi karyawan kontrak, hak2 kamu jd ga dapat sesuai hak2 karyawan tetap. Jangan habiskan usia/ atau umur manfaat kamu dengan mencari peluang yang tidak pasti. Tapi jangan juga nge-gondol suami orang atau istri orang karena sudah ada kepastianmaaf2. Saya berusaha untukk tidak terlalu frontal. Tapi kl iblis bertubuh manusia saya sumpahin aja.

Note : Menikah lebih dr 4 untuk laki2 muslim itu hak tetapi jangan menipu! Jadi jika ingin menikah 4 istri sekaligus, kalau melamar perempuan atau kenalan bilang saya ingin punya 4 istri. Jika bersedia dimadu terima saya jika tidak jangan ber investasi dengan saya baik waktumu, uangmu, perhatianmu, cintamu dan pengorbananmu.

Tapi jangan diakalin dengan DP duluan ya (KerjakelompokBikinAnak). Ngakalin donk.

Sekian

*Penipuan kerjasama
Pengertian Wanprestasi
Wanprestasi adalah pelaksanaan kewajiban yang tidak dipenuhi atau ingkar janji atau kelalaian yang dilakukan oleh debitur baik karena tidak melaksanakan apa yang telah diperjanjikan maupun malah melakukan sesuatu yang menurut perjanjian tidak boleh dilakukan.

*Jangan menikah bagi perempuan ujung2nya tekanan batin karna harus dibayar dengan harga mahal (Tp jangan juga freese*.)

sumber

1. Penjelasan Imam Qurthubi Penghuni Neraka Kebanyakan Wanita

Rasulullah SAW menjelaskan mayoritas penghuni neraka adalah wanita.
Kamis , 13 Aug 2020, 17:25 WIB



2. Fitnah Wanita Dan Anjuran Wanita Untuk Bersedekah Dan Beristighfar

Referensi:

Sumber","AGAR,ANDI,DAYA,MASA,SATU,UANG"
312,sofyurrizal,"12 May 21, 17:33 · Edited on 12 May 21, 17:34","yup bisa seperti itu, andaikan kita mampu membeli 100% seluruh saham $BMRI (467 Juta lot), toh nyatanya kita tdk bisa membeli seluruh lot yang ada, karena 60% saham itu dimiliki oleh Negara.

Sama sj seperti ini logika nya
$INDF mempunyai 80% kepemilikan saham $ICBP
apakah membeli INDF = membeli 80% ICBP?


pbv ICBP = 3,3
pbv Indf = 1,3","BMRI,ICBP,INDF"
313,risky666,"12 May 21, 17:32","@otoxilinder btw gw ga ada bilang trx palm rame ya ..tandanya lo ga nyimak ya, cape dong gw ngetik panjang2 jelasin ke elo wkwkwk..",PALM
314,tailaso,"12 May 21, 17:30",Gimana ini gan?? $IHSG $AGII,AGII
315,DailyInspiration,"12 May 21, 17:29",$AGII $SRTG top memang srtg jual di januari & baru beli lagi di bulan april.. ga perlu dipertanyakan manajemen saratoga dalam memilih saham,"AGII,SRTG"
316,shadijanto,"12 May 21, 17:28",@febrindas hajar Bro...jangan dikasih kendor,[]
317,rinaldom0507,"12 May 21, 17:28","Tak terasa bulan puasa akan berlalu dari kita. 

Ya, bulan puasa kali ini masih tetap berbeda dibandingkan tahun tahun sebelumnya. Apalagi situasi masih mengandung banyak uncertainty (ga pasti) disana sini. Tentu, kemampuan untuk stay defensive and adaptive alias kemampuan beradaptasi dan sesekali ngga agresif/bertahan memang harus kita pertajam dalam menghadapi uncertainty tersebut. 

Namun, seperti dalam postingan saya sebelum sebelumnya, selalu ada opportunity dalam kondisi tersulit sekalipun. Hanya, memang kitanya sendiri apakah sudah peka atau malah cenderung ogah ogahan kalau ada opportunity muncul? 

Sebulan terakhir, saya banyak bercerita tentang pengalaman saya dalam hal perduitan dan investasi selama ini. 

Ada banyak hal yang menjadi pembelajaran saya setelah melewati beragam kisah unik sampai menyedihkan dalam hal hal tersebut. Entahlah di masa mendatang, namun mudah mudahan saya sudah siap (atau memang mau ga mau harus siap juga sih). 

Namun, bukan hanya atas pengalaman pengalaman itu saya menjadi banyak memetik pelajaran. Ketika saya memutuskan membuat konten spesial Ramadan seperti ini, saya belajar untuk kembali menulis panjang dan bercerita lebih lega. Hal ini karena sebelum sebelumnya saya menghadapi situasi yang agak membuat saya malas menulis panjang seperti ini. 

Ya, anggap saja konten ini sebagai refreshment saya untuk soon bisa bikin konten serupa seperti ini lebih sering. Siapa tahu ada ide menarik muncul nantinya. 

And, It's a wrap. Berakhir juga cerita saya di bulan Ramadan ini. Semoga bro and sis juga bisa menerima manfaat dan hikmah dari tulisan saya sebulan terakhir. 

Saya secara pribadi dan sekaligus mimin tunggal disini mengucapkan Selamat Hari Raya Idul Fitri, mohon maaf lahir batin Jangan lupa untuk selalu rayakan pencapaian terbaik kita dengan cara yang humble dan terhormat, serta akui kesalahan dengan selalu berpikir jernih dari kondisi tersebut.

HOREE TAMAT JUGA BOSSS ~","MASA,SINI"
318,shadijanto,"12 May 21, 17:27",@kaburterus makanya Om...tolong jangan dikasih angin surga...kasih fear aja sy juga lg mau tambah muatan nih,[]
319,dedykurniawanp3,"12 May 21, 17:26",https://bit.ly/2RDhTsZ,[]
320,MohammedFatih,"12 May 21, 17:26","trimkasih bang , smg makin cuan di2021",[]
321,mangamsi,"12 May 21, 17:25","Hadiah Lebaran dari @mangamsi

https://bit.ly/3y8D8n9",[]
322,mangamsi,"12 May 21, 17:25","Hadiah Lebaran dari @mangamsi

https://bit.ly/3y8D8n9",[]
323,aditpermana16,"12 May 21, 17:23",$DOID 230,DOID
324,bagong,"12 May 21, 17:22 · Edited on 12 May 21, 17:24","@MohammedFatih ""https://bit.ly/1iRkpxL"" bang",[]
325,FifadNokuma,"12 May 21, 17:20",yg ngomong bandar belum akum tau darimana? emg tau persis nominee bandar siapa aja dan sekuritas apa aja?,[]
326,kaburterus,"12 May 21, 17:19",@Ambaroso iya ngok...,[]
